#weight  minuslogpost     logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau  A_planck         Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
13 515.51394 -1.3236712 2.9644491 0.92689658 1.0476818 0.022110488 0.12022992  0.05697008 1.0017593 0.047460116 1.9384021e-09 69.847281 0.29176233 0.14234041 0.70815192 0.24529233 0.24661846 2.6350651 8.0197421 0.81288374 0.97264349 0.43907938 0.59742823 1.9384021 1.7296582 13.596177  147.3297 1051.8705 -10.421314 -10.421314 1051.8705 26.955835 397.07996 618.48149 9.3532262
 3 515.47629 -1.3375201  2.964429 0.92684315 1.0476846 0.022111807  0.1202383 0.056953117 1.0017484 0.045970566 1.9383631e-09 69.846368 0.29178982 0.14235011 0.70812442 0.24529288 0.24661903 2.6348123 8.0178637 0.81326536 0.97310646 0.43930621 0.59772278 1.9383631 1.7296821 13.595998 147.32601 1051.8013 -10.424377 -10.424377 1051.8013   26.9614 397.07416 618.45523 9.3105417
50 515.49325 -1.3375201  2.964429 0.92684315 1.0476846 0.022111807  0.1202383 0.056953117 1.0017634 0.045970566 1.9383631e-09 69.846368 0.29178982 0.14235011 0.70812442 0.24529288 0.24661903 2.6348123 8.0178637 0.81326536 0.97310646 0.43930621 0.59772278 1.9383631 1.7296821 13.595998 147.32601 1051.8268 -10.420159 -10.420159 1051.8268  26.95825 397.07416 618.48444  9.309975
31 515.81779 -1.3375201  2.964429 0.92684315 1.0476846 0.022111807  0.1202383 0.056953117 1.0002998 0.045970566 1.9383631e-09 69.846368 0.29178982 0.14235011 0.70812442 0.24529288 0.24661903 2.6348123 8.0178637 0.81326536 0.97310646 0.43930621 0.59772278 1.9383631 1.7296821 13.595998 147.32601  1052.959 -10.661727 -10.661727  1052.959  27.26896 397.10866 619.15603 9.4253862
21 515.95594 -1.3359248 2.9643927 0.92675234 1.0476795 0.022106042 0.12028354 0.056885456 1.0003055 0.046139747 1.9382928e-09 69.823659 0.29206062 0.14238958 0.70785357 0.24529044 0.24661657 2.6359175 8.0131198 0.81336324 0.97338184 0.43956292 0.59793337 1.9382928 1.7298534 13.596909 147.32048 1053.2348 -10.661454 -10.661454 1053.2348 27.291301 397.10618 619.37585  9.461458
18 516.11743 -1.3339129 2.9643129 0.92674991 1.0476769 0.022105256 0.12028562 0.056862044 1.0002908 0.046353983 1.9381382e-09 69.821349  0.2920826 0.14239088 0.70783159  0.2452901 0.24661624 2.6360683 8.0109659 0.81328349 0.97330249 0.43953635 0.59788599 1.9381382 1.7297964 13.597074 147.32081 1053.5592 -10.662154 -10.662154 1053.5592 27.291143 397.10027 619.69302 9.4747328
14 515.43524 -1.4182054 2.9676564 0.92463072 1.0474803 0.022143366 0.12131179 0.055998458 1.0013321  0.03817637 1.9446292e-09  69.42302 0.29765223 0.14345515 0.70226097 0.24530614 0.24663233 2.6287641 7.9309904 0.81973002 0.98382779 0.44722432 0.60547766 1.9446292 1.7385899 13.603289  147.0079 1051.9244 -10.526966 -10.526966 1051.9244  27.92387 396.88733 617.52423 9.5889917
45 513.28179 -1.3956234 2.9686458 0.92460369 1.0474914 0.022146471 0.12130659 0.056550377 1.0012763 0.040213934 1.9465541e-09 69.431229 0.29757751 0.14345306 0.70233571 0.24530744 0.24663363  2.628169 7.9862919  0.8194321  0.9834121 0.44700567 0.60521962 1.9465541 1.7383909 13.602634  147.0058 1047.6408 -10.538613 -10.538613 1047.6408 27.990278 397.08292 612.78388 9.7837406
24 513.92378 -1.3956234 2.9686458 0.92460369 1.0474914 0.022146471 0.12130659 0.056550377 1.0015435 0.040213934 1.9465541e-09 69.431229 0.29757751 0.14345306 0.70233571 0.24530744 0.24663363  2.628169 7.9862919  0.8194321  0.9834121 0.44700567 0.60521962 1.9465541 1.7383909 13.602634  147.0058 1048.8042 -10.478329 -10.478329 1048.8042 27.930599 397.07607 614.06061 9.7369432
20 513.09526 -1.4240999 2.9595993 0.93248497 1.0474077 0.022304556 0.11980129 0.053856194 1.0017081 0.037661719 1.9290241e-09 70.071069 0.28942395 0.14210585 0.71049085 0.24537257   0.246699 2.5979323 7.6514812 0.81286099 0.97106188 0.43730406 0.59621088 1.9290241 1.7320433 13.583121 147.22643 1047.0615 -10.435516 -10.435516 1047.0615 25.331646 396.06842 615.88828 9.7731984
 6 510.92044 -1.3816087 2.9653276 0.92736466 1.0474339 0.022305797  0.1203299 0.054460422 1.0027975  0.04153281 1.9401058e-09 69.892229 0.29199166  0.1426357 0.70792271 0.24537307  0.2466995 2.5976965 7.7213069 0.81425737 0.97397375 0.43999416 0.59855534 1.9401058 1.7398896 13.584472 147.08549 1041.9266 -10.042852 -10.042852 1041.9266 27.042557 396.31189  609.3378 9.2343466
10 510.75096 -1.3816087 2.9653276 0.92736466 1.0474339 0.022305797  0.1203299 0.054460422 1.0026795  0.04153281 1.9401058e-09 69.892229 0.29199166  0.1426357 0.70792271 0.24537307  0.2466995 2.5976965 7.7213069 0.81425737 0.97397375 0.43999416 0.59855534 1.9401058 1.7398896 13.584472 147.08549  1041.691 -10.094552 -10.094552  1041.691 27.067501  396.3179 609.06601 9.2396221
46 511.22475 -1.3963296 2.9651323 0.92731727 1.0474316  0.02230427 0.12033647  0.05436839 1.0026675 0.040148596  1.939727e-09 69.887834 0.29203871 0.14264074 0.70787564 0.24537245 0.24669888 2.5979866 7.7123597 0.81462327 0.97444206 0.44022735 0.59884843  1.939727 1.7398701 13.584717 147.08546 1042.6488 -10.099667 -10.099667 1042.6488  27.06318 396.31556 610.05441 9.2156811
 2 510.64659 -1.3849181 2.9641733 0.92902947 1.0475233 0.022332425 0.12008916 0.053612796 1.0032059  0.04121752 1.9378676e-09 70.030968 0.29039929 0.14242159  0.7095154 0.24538386 0.24671033 2.5926488 7.6251583 0.81347287 0.97207104 0.43837003 0.59716172 1.9378676  1.740831   13.5782 147.11937 1040.9866 -9.8466885 -9.8466885 1040.9866 26.520884 396.10431 609.14693 9.2144343
12 510.38389 -1.3681331 2.9632907 0.92880866 1.0474862 0.022334734  0.1202738 0.053320537 1.0028667 0.042841716 1.9361579e-09  69.95446 0.29141687 0.14260853 0.70849765 0.24538479 0.24671127 2.5922125 7.5975067 0.81318071 0.97225316 0.43897967  0.5974695 1.9361579 1.7403121 13.579833 147.06809 1040.7907 -10.011477 -10.011477 1040.7907 26.580223 396.05328 608.88271 9.2745095
23 510.36972 -1.3684661 2.9632993 0.92881593 1.0474859 0.022334601 0.12027211 0.053331087 1.0028639 0.042808879 1.9361746e-09  69.95484 0.29140998 0.14260671 0.70850453 0.24538474 0.24671121 2.5922376 7.5985915 0.81319028 0.97226197 0.43897966   0.597473 1.9361746 1.7402904 13.579849 147.06868  1040.765 -10.012776 -10.012776  1040.765 26.577868 396.04373 608.87002 9.2733671
12 510.37342 -1.3684661 2.9632993 0.92881593 1.0474859 0.022334601 0.12027211 0.053331087 1.0028715 0.042808879 1.9361746e-09  69.95484 0.29140998 0.14260671 0.70850453 0.24538474 0.24671121 2.5922376 7.5985915 0.81319028 0.97226197 0.43897966   0.597473 1.9361746 1.7402904 13.579849 147.06868 1040.7654 -10.009283 -10.009283 1040.7654 26.576309 396.04373 608.87237 9.2729954
 45 510.28592 -1.3686982 2.9614414 0.92868272 1.0474835 0.022320558 0.12036664 0.052387238  1.002803 0.042786011 1.9325808e-09 69.908498 0.29196115  0.1426872 0.70795326 0.24537907 0.24670552  2.594895 7.5060016 0.81280252  0.9721204 0.43918508 0.59747028 1.9325808 1.7403423 13.581708 147.05939 1040.6526 -10.040359 -10.040359 1040.6526 26.558186  395.9059 608.90041  9.288065
