#weight  minuslogpost      logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck        Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
20 542.25408 -0.68496918 2.9509309 0.92828112 1.0495614  0.02275906 0.11753724 0.081999062 0.99851276 0.20655267 1.9123747e-09 72.016131 0.27051206  0.1402963 0.72940728 0.24554251 0.24686956 2.5162287 10.150518 0.78823825 0.92884364 0.40996881 0.56846556 1.9123747 1.6231158 13.465517 147.32201 1105.4921  -10.49197  -10.49197 1105.4921 24.317879 409.73329  659.5533 11.887636
18 542.26103 -0.68522385 2.9509131 0.92827674 1.0495609 0.022758441 0.11753759 0.081988084  0.9985155 0.20643159 1.9123407e-09 72.015299  0.2705178 0.14029603 0.72940154 0.24554226  0.2468693   2.51634 10.149738 0.78823574 0.92884605 0.40997186 0.56846677 1.9123407 1.6231226 13.465594  147.3226 1105.5073 -10.492621 -10.492621 1105.5073 24.317648 409.72707 659.56962 11.892967
 5 542.06508 -0.71400992 2.9425892 0.93246514 1.0496544 0.022769142  0.1170918 0.075401119   1.001404 0.19319242 1.8964887e-09 72.221134 0.26814385 0.13986094 0.73177595 0.24554665 0.24687372 2.5144131  9.552715 0.78474056 0.92340867 0.40635913 0.56470035 1.8964887  1.631014 13.459775 147.42968 1105.1526 -10.511232 -10.511232 1105.1526 22.974857 404.80281 663.29589 14.079065
10 537.23613 -0.71400992 2.9425892 0.93246514 1.0496544 0.022769142  0.1170918 0.075401119 0.99971818 0.19319242 1.8964887e-09 72.221134 0.26814385 0.13986094 0.73177595 0.24554665 0.24687372 2.5144131  9.552715 0.78474056 0.92340867 0.40635913 0.56470035 1.8964887  1.631014 13.459775 147.42968 1095.7974 -10.662566 -10.662566 1095.7974 23.222079 404.83471 654.91398 12.826628
24 537.27274 -0.72101247 2.9424803 0.93247807 1.0496582 0.022768264 0.11709145 0.075350027 0.99971681 0.19010237 1.8962821e-09 72.221834  0.2681363 0.13985971  0.7317835 0.24554629 0.24687335 2.5145715 9.5483556 0.78474463 0.92340899 0.40635551 0.56469931 1.8962821  1.631003 13.459749 147.43075 1095.8705 -10.662504 -10.662504 1095.8705 23.209677 404.78173 654.95295 12.926118
52 537.22927 -0.69475134 2.9407877 0.93219361 1.0496604 0.022771754 0.11702214 0.074708343 0.99956669 0.20195223 1.8930753e-09 72.251214 0.26779219 0.13979389 0.73212768 0.24554773  0.2468748 2.5139423 9.4882113  0.7835841  0.9218559 0.40549413  0.5636832 1.8930753 1.6303357  13.45902 147.44539 1095.7663 -10.653899 -10.653899 1095.7663 23.273594 404.37051 655.13399 12.988242
 6 536.82019  -0.7350754  2.937623 0.93230253 1.0496779 0.022731985 0.11691646 0.072470167  1.0003513 0.18404524 1.8870937e-09 72.262319 0.26743135 0.13964844 0.73248854 0.24553161 0.24685862 2.5210843 9.2937109 0.78240076 0.92039302 0.40460889 0.56264225 1.8870937 1.6324755  13.46193 147.51795 1094.9585 -10.659045 -10.659045 1094.9585 23.093025 403.03747 654.71067 14.117299
23 536.98168  -0.7350754  2.937623 0.93230253 1.0496779 0.022731985 0.11691646 0.072470167 0.99786535 0.18404524 1.8870937e-09 72.262319 0.26743135 0.13964844 0.73248854 0.24553161 0.24685862 2.5210843 9.2937109 0.78240076 0.92039302 0.40460889 0.56264225 1.8870937 1.6324755  13.46193 147.51795 1094.5721  -10.30438  -10.30438 1094.5721 23.467344 403.13705 655.65587 12.311854
 2 531.95262 -0.80485248 2.9235018 0.92577824 1.0493874 0.022466276 0.11886929 0.062985114 0.99817894 0.15672833 1.8606329e-09 71.219521 0.27864635 0.14133557 0.72127117 0.24543565 0.24676231 2.5678673 8.5083017  0.7834818 0.92838772 0.41357626 0.56923586 1.8606329 1.6404104 13.505389 147.29323 1084.7125 -10.403621 -10.403621 1084.7125 24.358623 398.83964 649.44497 12.069251
 1 531.85766 -0.76621689 2.9233719 0.92596672 1.0494191  0.02246212 0.11894952 0.063055649 0.99798642 0.17131016 1.8603912e-09 71.197738 0.27896697 0.14141165 0.72095051 0.24543413 0.24676078  2.568617 8.5176261 0.78360289 0.92867324 0.41387807 0.56948754 1.8603912  1.639966 13.505231 147.27656 1084.4044 -10.344559 -10.344559 1084.4044 24.350055 398.86901  649.6951 11.490275
28 531.82643 -0.79584422 2.9236378 0.92599751  1.049422 0.022461931 0.11895142 0.063115797 0.99805285 0.16001319 1.8608859e-09 71.197882 0.27896921 0.14141335 0.72094826 0.24543406 0.24676071 2.5686511 8.5235164 0.78388655 0.92900847 0.41402956 0.56969483 1.8608859 1.6402047 13.505173 147.27627 1084.3841 -10.365607 -10.365607 1084.3841 24.314299 398.89093 649.32855 11.850284
